x	y	key	showSelected1	row_in_group	na_group
2	1.08455431611548	2	15	2	1
3	1.06425216315035	3	15	3	1
4	0.995937416726897	4	15	4	1
5	1.62146715997163	5	15	5	1
6	-0.959614287259198	6	15	6	1
7	1.35221840756166	7	15	7	1
8	0.441982454576057	8	15	8	1
9	0.962002658237664	9	15	9	1
10	0.858095420468929	10	15	10	1
11	-0.702573418182739	11	15	11	1
12	-0.235944943165666	12	15	12	1
13	-0.886636903745491	13	15	13	1
14	0.569273921606277	14	15	14	1
15	0.120257181992981	15	15	15	1
3	1.01034996427118	2	16	17	2
4	0.926166302133059	3	16	18	2
5	1.54571598579243	4	16	19	2
6	-1.0624674830398	5	16	20	2
7	1.33317834867756	6	16	21	2
8	0.380087937195125	7	16	22	2
9	0.911648862071773	8	16	23	2
10	0.794145508787569	9	16	24	2
11	-0.769915613988579	10	16	25	2
12	-0.245577395675182	11	16	26	2
13	-0.88284676178086	12	16	27	2
14	0.605153201430488	13	16	28	2
15	0.11795121781707	14	16	29	2
16	-0.0599959503282009	15	16	30	2
4	0.942634472291027	2	17	32	3
5	1.56359563746936	3	17	33	3
6	-1.03819090469838	4	17	34	3
7	1.33767239942257	5	17	35	3
8	0.394696983503302	6	17	36	3
9	0.923533936406428	7	17	37	3
10	0.809239692581053	8	17	38	3
11	-0.754020744803851	9	17	39	3
12	-0.243303834934628	10	17	40	3
13	-0.883741354094022	11	17	41	3
14	0.596684566684862	12	17	42	3
15	0.118495497647601	13	17	43	3
16	-0.0586184736100678	14	17	44	3
17	-0.416778602525298	15	17	45	3
5	1.59433217443953	2	18	47	4
6	-0.996457544273722	3	18	48	4
7	1.34539802849891	4	18	49	4
8	0.419811090873174	5	18	50	4
9	0.943965320265646	6	18	51	4
10	0.835187789702081	7	18	52	4
11	-0.726696206095809	8	18	53	4
12	-0.239395403997679	9	18	54	4
13	-0.885279229115504	10	18	55	4
14	0.582126312997977	11	18	56	4
15	0.119431157773174	12	18	57	4
16	-0.0562504820609322	13	18	58	4
17	-0.416335761170096	14	18	59	4
18	-0.620290632477951	15	18	60	4
6	-0.701134382403778	2	19	62	5
7	1.40006789411824	3	19	63	5
8	0.597529288510333	4	19	64	5
9	1.08854655746499	5	19	65	5
10	1.01880765659789	6	19	66	5
11	-0.533336048040361	7	19	67	5
12	-0.211737669980932	8	19	68	5
13	-0.896161892511966	9	19	69	5
14	0.479105864455914	10	19	70	5
15	0.126052290217532	11	19	71	5
16	-0.0394935579969199	12	19	72	5
17	-0.413202025762879	13	19	73	5
18	-0.664162160177819	14	19	74	5
19	0.782862091346734	15	19	75	5
7	1.34345241775543	2	20	77	6
8	0.413486392052011	3	20	78	6
9	0.938819911451947	4	20	79	6
10	0.82865306016319	5	20	80	6
11	-0.733577576602447	6	20	81	6
12	-0.240379697334307	7	20	82	6
13	-0.884891932995749	8	20	83	6
14	0.58579264159073	9	20	84	6
15	0.119195522542104	10	20	85	6
16	-0.056846833471666	11	20	86	6
17	-0.416447285667302	12	20	87	6
18	-0.618729316848966	13	20	88	6
19	0.878438105463509	14	20	89	6
20	-1.04749059129945	15	20	90	6
8	0.378375788230158	2	21	92	7
9	0.91025595679299	3	21	93	7
10	0.792376502747484	4	21	94	7
11	-0.771778458643106	5	21	95	7
12	-0.245843852128712	6	21	96	7
13	-0.882741917476123	7	21	97	7
14	0.606145707300382	8	21	98	7
15	0.117887429385653	9	21	99	7
16	-0.0601573876518609	10	21	100	7
17	-0.417066396956006	11	21	101	7
18	-0.610061910535999	12	21	102	7
19	0.896671526209991	13	21	103	7
20	-1.05631663932109	14	21	104	7
21	-0.240402951799046	15	21	105	7
9	0.945222471393978	2	22	107	8
10	0.836784386378965	3	22	108	8
11	-0.72501491642377	4	22	109	8
12	-0.239154916696562	5	22	110	8
13	-0.885373855173719	6	22	111	8
14	0.581230537891644	7	22	112	8
15	0.119488729310702	8	22	113	8
16	-0.0561047786045051	9	22	114	8
17	-0.416308512966391	10	22	115	8
18	-0.620672100651954	11	22	116	8
19	0.874351116435852	12	22	117	8
20	-1.0455122482379	13	22	118	8
21	-0.262119810600391	14	22	119	8
22	0.210310754961252	15	22	120	8
10	1.15575217234468	2	23	122	9
11	-0.389127179701235	3	23	123	9
12	-0.191110408587011	4	23	124	9
13	-0.904278231413951	5	23	125	9
14	0.402272754422048	6	23	126	9
15	0.130990360327355	7	23	127	9
16	-0.0269961692875926	8	23	128	9
17	-0.410864871918499	9	23	129	9
18	-0.696881741220427	10	23	130	9
19	0.714030670936002	11	23	131	9
20	-0.967907723529853	12	23	132	9
21	-0.418105140310724	13	23	133	9
22	0.0740433606855889	14	23	134	9
23	1.15587929260334	15	23	135	9
11	0.0935376095345587	2	24	137	10
12	-0.122071292699937	3	24	138	10
13	-0.931443488659299	4	24	139	10
14	0.145113556877988	5	24	140	10
15	0.147518002463652	6	24	141	10
16	0.014832391998944	7	24	142	10
17	-0.403042455164932	8	24	143	10
18	-0.806393658689159	9	24	144	10
19	0.483653001324041	10	24	145	10
20	-0.856391382006209	11	24	146	10
21	-0.642253324531891	12	24	147	10
22	-0.121770495990295	13	24	148	10
23	1.1049483155037	14	24	149	10
24	-0.0355743741699682	15	24	150	10
12	-0.0932781619996427	2	25	152	11
13	-0.94277290376438	3	25	153	11
14	0.0378639449655121	4	25	154	11
15	0.15441094357513	5	25	155	11
16	0.0322772160911082	6	25	156	11
17	-0.399780074627701	7	25	157	11
18	-0.852066186681474	8	25	158	11
19	0.387572768164385	9	25	159	11
20	-0.809882898294439	10	25	160	11
21	-0.73573551765659	11	25	161	11
22	-0.203435707019644	12	25	162	11
23	1.08370728045449	13	25	163	11
24	0.0885304379888313	14	25	164	11
25	-0.240249191171666	15	25	165	11
13	-0.941385469782609	2	26	167	12
14	0.0509980524828835	3	26	168	12
15	0.153566813437457	4	26	169	12
16	0.0301408708758445	5	26	170	12
17	-0.40017959548353	6	26	171	12
18	-0.846472992612569	7	26	172	12
19	0.399339040229246	8	26	173	12
20	-0.815578465995316	9	26	174	12
21	-0.724287409327196	10	26	175	12
22	-0.193434741580593	11	26	176	12
23	1.08630852099179	12	26	177	12
24	0.0733321923518489	13	26	178	12
25	-0.241120820306145	14	26	179	12
26	-1.48320277122413	15	26	180	12
14	0.269560660630394	2	27	182	13
15	0.139519777180008	3	27	183	13
16	-0.00540971233157542	4	27	184	13
17	-0.406827958925337	5	27	185	13
18	-0.753397533776997	6	27	186	13
19	0.595139714714975	7	27	187	13
20	-0.910357508266593	8	27	188	13
21	-0.53378124729691	9	27	189	13
22	-0.0270102557553432	10	27	190	13
23	1.12959535380473	11	27	191	13
24	-0.179579412132278	12	27	192	13
25	-0.255625463024887	13	27	193	13
26	-1.42701647366609	14	27	194	13
27	-1.09826323333159	15	27	195	13
15	0.129797636981226	2	28	197	14
16	-0.0300147427277734	3	28	198	14
