xmin	xmax	showSelected1
0	15	15
1	16	16
2	17	17
3	18	18
4	19	19
5	20	20
6	21	21
7	22	22
8	23	23
9	24	24
10	25	25
11	26	26
12	27	27
13	28	28
14	29	29
15	30	30
16	31	31
17	32	32
18	33	33
19	34	34
20	35	35
21	36	36
22	37	37
23	38	38
24	39	39
25	40	40
26	41	41
27	42	42
28	43	43
29	44	44
30	45	45
31	46	46
32	47	47
33	48	48
34	49	49
35	50	50
36	51	51
37	52	52
38	53	53
39	54	54
40	55	55
41	56	56
42	57	57
43	58	58
44	59	59
45	60	60
46	61	61
47	62	62
48	63	63
49	64	64
50	65	65
51	66	66
52	67	67
53	68	68
54	69	69
55	70	70
56	71	71
57	72	72
58	73	73
59	74	74
60	75	75
61	76	76
62	77	77
63	78	78
64	79	79
65	80	80
66	81	81
67	82	82
68	83	83
69	84	84
70	85	85
71	86	86
72	87	87
73	88	88
74	89	89
75	90	90
76	91	91
77	92	92
78	93	93
79	94	94
80	95	95
81	96	96
82	97	97
83	98	98
84	99	99
85	100	100
