x	y	label	showSelected1
50	4	"Window: 15
AR(1) Coef: 0.54"	15
50	4	"Window: 16
AR(1) Coef: 0.58"	16
50	4	"Window: 17
AR(1) Coef: 0.57"	17
50	4	"Window: 18
AR(1) Coef: 0.55"	18
50	4	"Window: 19
AR(1) Coef: 0.45"	19
50	4	"Window: 20
AR(1) Coef: 0.56"	20
50	4	"Window: 21
AR(1) Coef: 0.58"	21
50	4	"Window: 22
AR(1) Coef: 0.55"	22
50	4	"Window: 23
AR(1) Coef: 0.36"	23
50	4	"Window: 24
AR(1) Coef: 0.09"	24
50	4	"Window: 25
AR(1) Coef: -0.02"	25
50	4	"Window: 26
AR(1) Coef: -0.01"	26
50	4	"Window: 27
AR(1) Coef: 0.22"	27
50	4	"Window: 28
AR(1) Coef: 0.38"	28
50	4	"Window: 29
AR(1) Coef: 0.24"	29
50	4	"Window: 30
AR(1) Coef: 0.29"	30
50	4	"Window: 31
AR(1) Coef: 0.39"	31
50	4	"Window: 32
AR(1) Coef: 0.42"	32
50	4	"Window: 33
AR(1) Coef: 0.55"	33
50	4	"Window: 34
AR(1) Coef: 0.61"	34
50	4	"Window: 35
AR(1) Coef: 0.60"	35
50	4	"Window: 36
AR(1) Coef: 0.53"	36
50	4	"Window: 37
AR(1) Coef: 0.66"	37
50	4	"Window: 38
AR(1) Coef: 0.74"	38
50	4	"Window: 39
AR(1) Coef: 0.68"	39
50	4	"Window: 40
AR(1) Coef: 0.63"	40
50	4	"Window: 41
AR(1) Coef: 0.53"	41
50	4	"Window: 42
AR(1) Coef: 0.36"	42
50	4	"Window: 43
AR(1) Coef: 0.51"	43
50	4	"Window: 44
AR(1) Coef: 0.57"	44
50	4	"Window: 45
AR(1) Coef: 0.59"	45
50	4	"Window: 46
AR(1) Coef: 0.58"	46
50	4	"Window: 47
AR(1) Coef: 0.61"	47
50	4	"Window: 48
AR(1) Coef: 0.58"	48
50	4	"Window: 49
AR(1) Coef: 0.61"	49
50	4	"Window: 50
AR(1) Coef: 0.65"	50
50	4	"Window: 51
AR(1) Coef: 0.66"	51
50	4	"Window: 52
AR(1) Coef: 0.72"	52
50	4	"Window: 53
AR(1) Coef: 0.85"	53
50	4	"Window: 54
AR(1) Coef: 0.83"	54
50	4	"Window: 55
AR(1) Coef: 0.80"	55
50	4	"Window: 56
AR(1) Coef: 0.74"	56
50	4	"Window: 57
AR(1) Coef: 0.69"	57
50	4	"Window: 58
AR(1) Coef: 0.75"	58
50	4	"Window: 59
AR(1) Coef: 0.82"	59
50	4	"Window: 60
AR(1) Coef: 0.87"	60
50	4	"Window: 61
AR(1) Coef: 0.91"	61
50	4	"Window: 62
AR(1) Coef: 0.86"	62
50	4	"Window: 63
AR(1) Coef: 0.85"	63
50	4	"Window: 64
AR(1) Coef: 0.83"	64
50	4	"Window: 65
AR(1) Coef: 0.78"	65
50	4	"Window: 66
AR(1) Coef: 0.74"	66
50	4	"Window: 67
AR(1) Coef: 0.68"	67
50	4	"Window: 68
AR(1) Coef: 0.73"	68
50	4	"Window: 69
AR(1) Coef: 0.75"	69
50	4	"Window: 70
AR(1) Coef: 0.77"	70
50	4	"Window: 71
AR(1) Coef: 0.72"	71
50	4	"Window: 72
AR(1) Coef: 0.67"	72
50	4	"Window: 73
AR(1) Coef: 0.51"	73
50	4	"Window: 74
AR(1) Coef: 0.44"	74
50	4	"Window: 75
AR(1) Coef: 0.35"	75
50	4	"Window: 76
AR(1) Coef: 0.60"	76
50	4	"Window: 77
AR(1) Coef: 0.55"	77
50	4	"Window: 78
AR(1) Coef: 0.56"	78
50	4	"Window: 79
AR(1) Coef: 0.52"	79
50	4	"Window: 80
AR(1) Coef: 0.48"	80
50	4	"Window: 81
AR(1) Coef: 0.49"	81
50	4	"Window: 82
AR(1) Coef: 0.49"	82
50	4	"Window: 83
AR(1) Coef: 0.46"	83
50	4	"Window: 84
AR(1) Coef: 0.43"	84
50	4	"Window: 85
AR(1) Coef: 0.30"	85
50	4	"Window: 86
AR(1) Coef: 0.09"	86
50	4	"Window: 87
AR(1) Coef: 0.29"	87
50	4	"Window: 88
AR(1) Coef: 0.30"	88
50	4	"Window: 89
AR(1) Coef: 0.35"	89
50	4	"Window: 90
AR(1) Coef: 0.28"	90
50	4	"Window: 91
AR(1) Coef: 0.28"	91
50	4	"Window: 92
AR(1) Coef: 0.38"	92
50	4	"Window: 93
AR(1) Coef: 0.37"	93
50	4	"Window: 94
AR(1) Coef: 0.51"	94
50	4	"Window: 95
AR(1) Coef: 0.49"	95
50	4	"Window: 96
AR(1) Coef: 0.49"	96
50	4	"Window: 97
AR(1) Coef: 0.49"	97
50	4	"Window: 98
AR(1) Coef: 0.42"	98
50	4	"Window: 99
AR(1) Coef: 0.37"	99
50	4	"Window: 100
AR(1) Coef: 0.33"	100
